Domain,Area,Element,Item,Year,Months,Value
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2012","January","900"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2012","February","900"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2012","March","950"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2012","April","950"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2012","May","950"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2012","June","1050"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2012","July","1000"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2012","August","1050"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2012","September","1000"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2012","October","1050"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2012","November","1050"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2012","December","950"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2013","January","1000"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2013","February","1000"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2013","March","1050"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2013","April","1000"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2013","May","1100"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2013","June","1150"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2013","July","1150"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2013","August","1250"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2013","September","1200"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2013","October","1200"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2013","November","1200"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2013","December","1200"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2014","January","1150"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2014","February","1150"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2014","March","1300"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2014","April","1200"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2014","May","1200"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2014","June","1250"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2014","July","1400"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2014","August","1400"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2014","September","1150"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2014","October","1200"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2014","November","1300"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2014","December","1300"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2015","January","1200"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2016","January","1350"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2016","February","1350"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2016","March","1300"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2016","April","1250"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2016","May","1500"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2016","June","1550"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2016","July","1550"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2016","August","1550"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2016","September","1500"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2016","October","1450"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2016","November","1500"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2016","December","1500"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2017","January","1550"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2017","February","1550"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2017","March","1600"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2017","April","1450"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2017","May","1350"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2017","June","1250"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2017","July","1300"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2017","August","1300"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2017","September","1300"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2017","October","1300"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2017","November","1250"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2017","December","1150"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2018","January","1350"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2018","February","1350"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2018","March","1350"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2018","April","1450"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2018","May","1450"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2018","June","1450"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2018","July","1400"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2018","August","1550"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2018","September","1500"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2018","October","1450"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2018","November","1500"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2018","December","1450"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2019","January","1500"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2019","February","1500"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2019","March","1500"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2019","April","1500"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2019","May","1500"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2019","June","1500"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2019","July","1550"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2019","August","1750"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2019","September","1850"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2019","October","1700"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2019","November","1350"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2019","December","1350"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2020","January","1450"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2020","February","1450"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2020","March","1550"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2020","April","1500"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2020","May","1550"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2020","June","1400"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2020","July","1550"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2020","August","1650"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2020","September","1650"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2020","October","1850"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2020","November","1550"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2020","December","1450"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2021","January","1450"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2021","February","1500"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2021","March","1500"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2021","April","1600"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2021","May","1650"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2021","June","1650"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2021","July","1650"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2021","August","1650"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2021","September","1500"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2021","October","1500"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2021","November","1600"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2021","December","1650"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2022","January","1800"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2022","February","1750"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2022","March","1900"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2022","April","1900"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2022","May","2000"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2022","June","2050"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2022","July","1950"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2022","August","1950"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2022","September","1950"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2022","October","1950"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2022","November","1950"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Papayas","2022","December","2000"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2010","January","1600"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2010","February","1550"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2010","March","1750"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2010","April","1750"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2010","May","1800"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2010","June","1800"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2010","July","1650"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2010","August","1550"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2010","September","1550"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2010","October","1600"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2010","November","1600"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2010","December","1400"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2011","January","950"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2011","February","1000"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2011","March","1000"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2011","April","1000"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2011","May","1000"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2011","June","1050"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2011","July","1000"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2011","August","1050"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2011","September","1050"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2011","October","1000"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2011","November","1050"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2011","December","1000"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2012","January","1000"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2012","February","1100"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2012","March","1100"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2012","April","1100"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2012","May","1050"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2012","June","1100"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2012","July","1100"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2012","August","1100"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2012","September","1100"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2012","October","1100"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2012","November","1050"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2012","December","1100"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2013","January","1100"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2013","February","1100"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2013","March","1100"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2013","April","1100"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2013","May","1150"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2013","June","1200"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2013","July","1250"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2013","August","1250"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2013","September","1250"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2013","October","1250"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2013","November","1250"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2013","December","1150"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2014","January","850"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2014","February","1200"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2014","March","1100"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2014","April","1150"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2014","May","1100"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2014","June","1100"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2014","July","1100"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2014","August","1250"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2014","September","1250"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2014","October","1300"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2014","November","1250"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2014","December","1450"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2015","January","1400"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2016","January","1150"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2016","February","1200"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2016","March","1200"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2016","April","1300"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2016","May","1350"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2016","June","1300"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2016","July","1300"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2016","August","1250"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2016","September","1550"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2016","October","1400"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2016","November","1550"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2016","December","1300"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2017","January","1400"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2017","February","1400"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2017","March","1450"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2017","April","1450"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2017","May","1500"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2017","June","1450"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2017","July","1500"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2017","August","1450"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2017","September","1450"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2017","October","1450"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2017","November","1450"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2017","December","1450"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2018","January","1450"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2018","February","1500"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2018","March","1500"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2018","April","1500"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2018","May","1500"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2018","June","1350"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2018","July","1300"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2018","August","1150"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2018","September","1400"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2018","October","1400"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2018","November","1300"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2018","December","1350"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2019","January","1300"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2019","February","1250"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2019","March","1250"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2019","April","1450"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2019","May","1500"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2019","June","1800"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2019","July","2000"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2019","August","2000"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2019","September","1750"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2019","October","1600"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2019","November","1350"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2019","December","1650"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2020","January","1400"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2020","February","1450"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2020","March","1550"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2020","April","1400"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2020","May","1400"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2020","June","1250"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2020","July","1350"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2020","August","1300"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2020","September","1400"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2020","October","1350"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2020","November","1500"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2020","December","1500"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2021","January","1300"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2021","February","1350"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2021","March","1500"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2021","April","1400"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2021","May","1600"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2021","June","1650"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2021","July","1750"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2021","August","1350"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2021","September","1450"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2021","October","1450"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2021","November","1450"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2021","December","1500"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2022","January","1450"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2022","February","1500"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2022","March","1500"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2022","April","1900"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2022","May","1900"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2022","June","1800"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2022","July","1950"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2022","August","1950"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2022","September","2100"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2022","October","1700"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2022","November","1750"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Pineapples","2022","December","1750"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2010","January","1450"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2010","February","1450"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2010","March","1450"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2010","April","1500"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2010","May","1450"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2010","June","1400"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2010","July","1350"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2010","August","1600"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2010","September","1550"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2010","October","1550"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2010","November","1650"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2010","December","1800"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2011","January","900"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2011","February","900"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2011","March","950"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2011","April","900"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2011","May","800"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2011","June","800"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2011","July","800"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2011","August","900"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2011","September","850"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2011","October","1050"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2011","November","1050"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2011","December","900"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2012","January","850"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2012","February","900"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2012","March","900"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2012","April","850"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2012","May","900"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2012","June","850"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2012","July","900"
